#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
020756-055211,31.986800,-5.869800,-99.000,-99.000,0.05,0.50,-99.00,14.94,19.94,CG,V,C,SuGOHI5
115330-014351,178.376800,-1.730900,-99.000,-99.000,0.11,1.11,-99.00,15.45,22.77,CG,V,B,SuGOHI5
224111+014624,340.299500,1.773400,-99.000,-99.000,0.06,-99.00,-99.00,15.48,-99.00,CG,V,C,SuGOHI5
015654-042425,29.226300,-4.407000,-99.000,-99.000,0.12,-99.00,-99.00,15.56,-99.00,CG,V,B,SuGOHI5
114329-014430,175.873500,-1.741667,-99.000,-99.000,0.11,-99.00,1.68,15.82,-99.00,CG,"K V",A,"SuGOHI5 SLACS LinKS"
120542-012308,181.427100,-1.385800,-99.000,-99.000,0.18,2.02,-99.00,15.89,25.58,CG,V,C,SuGOHI5
222948+035710,337.452890,3.952838,-99.000,-99.000,-99.00,-99.00,-99.00,15.94,20.31,GG,Y,C,SuGOHI2
142138+004651,215.411200,0.780800,-99.000,-99.000,0.12,0.60,-99.00,16.00,19.38,CG,V,C,SuGOHI5
162126+424540,245.362200,42.761200,-99.000,-99.000,0.13,1.22,-99.00,16.23,22.25,CG,V,B,SuGOHI5
221425-001545,333.604400,-0.262500,-99.000,-99.000,0.07,2.12,-99.00,16.29,25.62,CG,V,C,SuGOHI5
021652-041726,34.219300,-4.290500,-99.000,-99.000,0.16,-99.00,-99.00,16.38,-99.00,CG,V,C,SuGOHI5
085932+030841,134.884700,3.144700,-99.000,-99.000,0.20,-99.00,-99.00,16.40,-99.00,CG,V,C,SuGOHI5
023103-071609,37.766600,-7.269100,-99.000,-99.000,0.11,-99.00,-99.00,16.48,-99.00,CG,V,C,SuGOHI5
022904-061937,37.268700,-6.327100,-99.000,-99.000,0.20,-99.00,-99.00,16.54,-99.00,GG,V,C,SuGOHI5
023005-054059,37.522830,-5.683153,-99.000,-99.000,-99.00,-99.00,-99.00,16.61,22.45,GG,Y,C,SuGOHI1
021426-021358,33.608928,-2.232852,-99.000,-99.000,-99.00,-99.00,-99.00,16.62,22.19,GG,Y,C,SuGOHI1
222246+041813,335.693160,4.303750,-99.000,-99.000,-99.00,-99.00,-99.00,16.63,20.83,GG,Y,C,SuGOHI2
