CFHTLS,Conf,Feat,ra,dec,zph,r'Mag,M*,g'-r',R/B
W1-2,4,"L,A,F",30.690147,-11.165118,0.147,-22.38,11.06,0.623,R
W1-3,1,,30.201271,-11.144945,0.178,-23.43,11.24,0.413,B
W1-4,0,,30.391056,-11.107487,0.182,-23.71,11.36,0.414,B
W1-7,4,"L,S,A",30.196264,-11.033447,0.12,-22.1,10.95,0.623,R
W1-8,0,,30.493235,-11.019429,0.113,-21.76,10.8,0.616,R
W1-9,0,,30.513254,-10.806742,0.111,-21.88,10.62,0.412,B
W1-11,0,,31.069776,-10.696386,0.126,-22.02,10.67,0.402,B
W1-13,0,,30.596039,-10.623502,0.152,-22.71,10.94,0.4,B
W1-17,4,S,31.714083,-11.228167,0.104,-21.79,10.82,0.615,R
W1-18,2,,31.970299,-11.213195,0.163,-22.55,10.69,0.235,B
W1-19,4,H,31.412792,-11.15111,0.12,-22.38,11.02,0.586,R
W1-20,1,,31.203613,-11.146258,0.18,-23.15,11.39,0.639,R
W1-21,0,,31.808828,-10.948963,0.15,-22.84,11.29,0.66,R
W1-22,1,,31.982681,-10.95393,0.09,-21.13,10.26,0.354,B
W1-25,0,,32.125488,-11.198564,0.18,-23.03,11.32,0.626,R
W1-26,0,,32.415287,-11.13273,0.117,-22.03,10.59,0.326,B
W1-27,0,,32.646156,-11.124942,0.18,-22.82,11.09,0.496,B
W1-29,4,A,32.386871,-11.023117,0.154,-22.63,10.86,0.352,B
W1-30,0,,32.990086,-10.963011,0.121,-22.31,11.02,0.614,R
W1-31,0,,32.767452,-10.926092,0.147,-22.51,10.93,0.459,B
W1-32,1,,32.871616,-10.871783,0.096,-22.27,10.71,0.345,B
W1-34,0,,32.128754,-10.664643,0.179,-23.16,11.12,0.403,B
W1-36,1,,32.194176,-10.582054,0.15,-22.64,11.18,0.636,R
W1-37,2,,32.136494,-10.360971,0.15,-22.43,11.09,0.634,R
W1-41,4,M,32.218201,-10.266704,0.148,-22.74,11.19,0.611,R
W1-42,4,S,33.92197,-11.09567,0.063,-20.47,10.3,0.623,R
W1-45,0,,33.566002,-10.76555,0.136,-22.41,11.04,0.592,R
