Seq,ra,dec,z,gmag,rmag,FUVmag,NUVmag,Morph,Dist,g-r,BMag,logM*,M1:M2,SFR,logMHI,Sat,Ngh,DR12,Sloan,SimbadName,NED
1,18.4138,0.8741,0.0039,15.87,15.76,16.79,16.96,I,16.52,0.11,-14.96,7.81,5,-1.51,8.49,1,22,DR12,Sloan,UGC   772,NED
2,21.3957,7.9908,0.0097,15.18,15.14,15.89,15.89,IM,41.26,0.04,-17.66,8.78,2,-0.35,9.3,0,9,DR12,Sloan,UGC   993,NED
3,27.1545,28.6427,0.0125,15.78,15.35,17.28,16.64,IB,53.29,0.43,-17.49,9.35,4,-0.68,8.76,1,3,DR12,Sloan,AGC 114058,NED
4,28.9989,-0.1855,0.0121,16.47,16.01,17.76,16.55,Sh,51.57,0.46,-16.72,9.09,,-0.91,8.43,0,3,DR12,Sloan,LEDA 3111971,NED
5,30.6615,-9.3703,0.018,15.43,15.13,17.38,17.18,A,77.06,0.3,-18.68,9.61,,-0.4,,0,1,DR12,Sloan,LEDA    7782,NED
6,30.8279,22.0441,0.0088,13.86,13.55,14.15,14.64,IM,35.1,0.31,-18.55,9.57,,0.2,9.75,0,4,DR12,Sloan,UGC  1547,NED
7,32.5408,-1.4013,0.0119,15.03,14.83,15.63,16.18,E,50.71,0.2,-18.21,9.26,,-0.07,9.53,0,3,DR12,Sloan,KUG 0207-016A,NED
8,34.3948,-7.704,0.016,14.76,14.45,15.68,16.18,I,68.39,0.31,-19.1,9.79,13,0.17,,0,3,DR12,Sloan,LEDA    8757,NED
9,35.4799,-9.4766,0.0123,16.01,15.81,17.2,16.64,I,52.43,0.2,-17.3,8.9,43,-0.67,,0,2,DR12,Sloan,6dFGS gJ022155.3-092836,NED
10,35.5498,-8.5101,0.0156,15.25,14.9,17.15,17.04,TS,66.66,0.35,-18.53,9.63,,-0.44,,0,3,DR12,Sloan,2MASX J02221199-0830363,NED
11,36.946,-8.6261,0.0167,16.41,16.09,17.03,17.7,TS,71.42,0.32,-17.53,9.19,,-0.33,,0,1,DR12,Sloan,SDSS J022747.06-083733.8,NED
12,40.82292,3.64472,0.014,15.08,14.94,,,I,59.75,0.14,-18.53,9.29,,,9.44,0,3,DR12,Sloan,LEDA   10297,NED
13,109.6395,31.3866,0.0114,14.41,14.02,,,I,48.56,0.39,-18.67,9.75,2,,9.78,1,10,DR12,Sloan,UGC  3790,NED
