Name,ra,dec,Type,T,B_T,K_T,V_LG,V_LG_err,D_Mpc,FOV_arcmin
2MASXJ12284541-0838329,187.18912494,-8.64240929,S0,-2.0 +/- 1.7,15.59 +/- 0.50,11.19 +/- 0.08,5245,39,71.8,7x7
CGCG 049--065,228.471916,4.461239,S?,1.8 +/- 4.8,15.63 +/- 0.28,11.44 +/- 0.05,11222,5,153.7,4x4
ESO 413--020,25.16263911,-31.82085075,S0,-2.0 +/- 0.4,14.30 +/- 0.47,10.63 +/- 0.06,6011,36,82.3,4x4
IC 0160,26.62308444,-13.24764447,E-S0,-2.8 +/- 0.7,14.88 +/- 0.39,10.36 +/- 0.09,5611,24,76.8,9x9
IC 0169,27.66399829,-12.6795564,E-S0,-3.0 +/- 2.4,15.80 +/- 0.49,11.09 +/- 0.08,8522,25,116.7,7x7
IC 0174,29.06700918,3.76187016,S0,-1.9 +/- 0.5,14.52 +/- 0.32,10.55 +/- 0.03,5346,14,73.2,7x7
MCG -01--06--043,31.45255925,-5.29384248,Sbc,4.0 +/- 1.3,14.80 +/- 0.42,10.46 +/- 0.04,5110,20,70.0,9x9
NGC 0095,5.55642044,10.49158512,SABc,5.2 +/- 0.5,13.28 +/- 0.04,9.48 +/- 0.04,5584,2,76.5,15x15
NGC 0175,9.33978708,-19.93426638,Sab,2.2 +/- 0.5,12.98 +/- 0.06,9.23 +/- 0.06,3949,17,54.1,15x15
NGC 0259,12.01367083,-2.77528056,Sbc,4.0 +/- 0.6,13.70 +/- 0.41,9.22 +/- 0.05,4182,5,57.3,15x15
NGC 0577,22.66963174,-1.99436653,Sa,1.0 +/- 0.4,14.12 +/- 0.32,9.91 +/- 0.08,6048,4,82.8,9x9
NGC 0681,27.29505962,-10.426337,SABa,2.0 +/- 0.7,12.77 +/- 0.07,8.67 +/- 0.03,1805,3,24.7,9x9
NGC 0788,30.2769287,-6.81587495,S0-a,0.0 +/- 0.5,13.06 +/- 0.06,9.10 +/- 0.05,4144,24,60.8,10x10
NGC 1076,40.87181696,-14.75420292,S0-a,0.2 +/- 1.3,13.71 +/- 0.50,10.00 +/- 0.04,2084,4,28.5,7x7
NGC 1309,50.52731207,-15.39994214,Sbc,3.9 +/- 0.6,11.96 +/- 0.11,9.12 +/- 0.04,2092,2,28.6,7x7
NGC 3131,152.15163412,18.23124832,Sb,3.1 +/- 0.5,13.88 +/- 0.28,9.69 +/- 0.03,4974,2,68.1,7x7
NGC 3451,163.5869125,27.23965556,Sc,6.5 +/- 0.9,13.50 +/- 0.31,10.26 +/- 0.07,1260,2,17.2,7x7
NGC 3689,172.04590844,25.66114014,SABc,5.3 +/- 0.5,13.01 +/- 0.11,9.20 +/- 0.03,2667,2,36.5,7x7
NGC 4385,186.42837498,0.57257726,S0-a,-0.1 +/- 2.1,13.15 +/- 0.06,9.69 +/- 0.37,1988,3,27.2,7x7
NGC 4390,186.46110828,10.45903055,Sc,5.0 +/- 0.8,13.34 +/- 0.03,10.54 +/- 0.25,983,3,13.5,7x7
NGC 5971,233.90377886,56.46169031,Sa,1.1 +/- 0.5,14.72 +/- 0.32,11.08 +/- 0.12,3555,2,48.7,9x9
UGC 04132,119.80445793,32.91470391,Sbc,4.0 +/- 0.3,13.84 +/- 0.51,9.63 +/- 0.04,5160,5,70.7,7x7
UGC 06397,170.75854583,34.49773056,Sab,2.0 +/- 0.2,14.90 +/- 0.29,10.34 +/- 0.06,6231,39,85.3,7x7
UGC 08717,206.84234416,30.33345824,SABa,1.0 +/- 0.5,14.67 +/- 0.29,10.05 +/- 0.05,4686,3,64.2,9x9
