Name,RA_deg,Dec_deg,PA_deg,Structure,q,C0
ES_0.756_-0.317,0.75613,-0.31716,1.6,6,0.22,-0.19
ES_1.870_0.902,1.87010,0.90169,24.0,6,0.35,-0.65
ES_2.265_-0.583^,2.26488,-0.58253,-32.2,1,0.25,1.54
ES_7.350_0.316,7.35044,0.31575,22.6,5,0.21,-0.52
ES_13.728_0.434,13.72821,0.43372,77.9,5,0.18,0.93
ES_14.082_-0.126,14.08171,-0.12576,-14.1,6,0.29,0.13
ES_15.846_-0.469,15.84552,-0.46923,-82.9,2,0.30,0.28
ES_17.089_0.044,17.08944,0.04368,-14.8,1,0.28,-0.15
ES_18.239_-0.345^,18.23926,-0.34500,-73.6,"1, 2",0.31,-0.10
ES_18.624_0.215,18.62440,0.21522,53.0,1,0.25,0.09
ES_19.434_0.254,19.43399,0.25434,-64.7,2,0.43,0.05
ES_19.677_1.135,19.67695,1.13460,-69.2,6,0.29,0.6
ES_20.130_0.786,20.13038,0.78572,-28.7,5,0.20,-0.72
ES_20.271_0.103,20.27080,0.10292,33.0,1,0.22,0.62
ES_21.171_0.081,21.17076,0.08109,-50.6,"3, 6",0.15,0.83
ES_23.504_-0.537,23.50383,-0.53683,-73.8,4,0.30,-0.16
ES_24.765_0.437,24.76539,0.43667,-20.7,5,0.21,-0.15
ES_28.265_1.023,28.26460,1.02305,75.0,1,0.28,0.64
ES_29.743_-0.490,29.74327,-0.48984,-38.9,3,0.51,-0.94
ES_30.191_-0.908,30.19102,-0.90786,57.3,3,0.18,0.37
ES_30.259_0.031,30.25862,0.03129,50.4,3,0.16,0.46
ES_31.960_-0.384,31.96020,-0.38421,2.8,1,0.28,-0.51
ES_31.972_-0.028,31.97232,-0.02835,-34.6,1,0.31,-0.58
ES_32.794_-0.517,32.79416,-0.51687,-52.2,1,0.22,-0.11
ES_37.936_-0.945^,37.93556,-0.94535,-48.6,2,0.38,-0.49
ES_38.657_-0.980,38.65716,-0.97985,-36.1,4,0.31,-0.15
ES_41.525_0.564,41.52514,0.56355,46.7,6,0.28,-0.25
ES_43.963_0.564,43.96324,0.56408,39.5,3,0.30,-0.37
ES_47.102_-0.559,47.10241,-0.55866,14.0,5,0.15,-0.72
ES_49.360_-0.094^,49.36040,-0.09421,117.0,5,0.28,0.39
ES_52.605_0.274,52.60547,0.27378,-90.4,3,0.40,-0.56
ES_53.382_0.699^,53.38157,0.69928,14.5,4,0.33,0.40
ES_311.043_-0.415,311.04300,-0.41547,327.0,1,0.20,-0.57
ES_314.206_-0.238^,314.20637,-0.23774,-5.2,1,0.29,-0.15
ES_315.137_0.294,315.13693,0.29442,16.4,4,0.26,-0.65
ES_316.508_-0.504^,316.50807,-0.50361,36.9,4,0.32,-0.62
ES_319.092_-0.730,319.09166,-0.73014,-35.1,1,0.17,0.10
ES_323.211_1.153,323.21103,1.15324,15.8,6,0.31,-0.43
ES_325.543_-0.288,325.54260,-0.28770,65.3,"1,3",0.44,0.02
ES_327.676_0.912^,327.67642,0.91201,-59.1,6,0.52,0.14
ES_330.520_-0.382,330.52009,-0.38229,-40.6,4,0.25,-0.23
ES_336.825_-0.682,336.82471,-0.68212,4.3,1,0.24,0.54
ES_337.223_0.771,337.22315,0.77054,-27.3,2,0.35,-0.72
ES_339.889_0.411,339.88871,0.41084,-82.9,4,0.25,-0.03
ES_344.086_0.487,344.08555,0.48698,82.8,4,0.25,-0.24
ES_344.174_0.162,344.17380,0.16169,99.2,3,0.36,-0.33
ES_350.008_-0.102,350.00776,-0.10197,38.6,1,0.26,-0.40
ES_350.832_-0.500,350.83207,-0.49982,-5.6,3,0.19,-0.19
ES_353.011_1.223,353.01133,1.22329,13.5,5,0.24,-0.17
ES_354.826_-0.643,354.82611,-0.64319,80.5,2,0.29,-0.44
ES82_1.870_0.902,1.8701,0.90169,24,1,0.35,-0.66
ES82_5.724_-0.997,5.72384,-0.99712,-53,"1, 2",0.49,-0.65
ES82_6.036_0.379,6.03629,0.37913,61.3,1,0.25,-0.97
ES82_10.574_0.371,10.57439,0.3707,63.16,2,0.28,-0.39
ES82_13.396_0.596,13.3955,0.59626,-43.9,2,0.38,-0.55
ES82_16.599_-0.170,16.59915,-0.16965,43.1,2,0.33,-0.76
ES82_17.693_0.793,17.69276,0.79335,9.7,2,0.24,-0.51
ES82_17.898_0.462,17.898,0.46228,88.29,2,0.19,0.07
ES82_19.468_0.781,19.46848,0.78079,3.7,2,0.28,-0.4
ES82_22.977_0.492,22.97732,0.49202,15.5,2,0.17,-0.34
ES82_23.639_-0.430,23.6386,-0.4303,40.4,2,0.3,-0.89
ES82_23.752_-0.451,23.75164,-0.45117,14.7,2,0.33,-0.56
ES82_24.469_1.043,24.46947,1.04303,-57.4,2,0.32,-0.59
ES82_25.149_0.259,25.14949,0.25854,45.96,1,0.16,0
