Host,RA_deg,Dec_deg,D_Mpc,Type,d_kpc,w_kpc,Morphology,DSI_r,DSI_g,DSI_z,Reported
2MASXJ20350262,308.7608,-44.5274,78.34,,35.56,2.86,GP,4.26,1.54,2.53,this work
ESO 081-008,35.4048,-64.6103,82.41,S,66.95,5.37,Cl,9.04,4.46,4.42,this work
ESO 114-001,24.4181,-60.8653,74.82,SABab,29.96,3.92,PD,27.22,31.07,11.06,this work
ESO147-006,340.8275,-59.4142,71.78,Sb,51.24,2.86,A,9.15,7.13,5.30,this work
ESO 159-013,82.4354,-53.7556,97.72,Sa,17.34,5.69,Cl,11.60,6.32,6.00,this work
ESO 160-002,87.813,-53.5746,61.09,Sb,54.09,4.23,A,10.34,9.32,6.82,this work
ESO 186-063,308.5792,-54.8467,88.72,Sc,23.16,2.65,A,9.07,4.82,2.99,this work
ESO 197-018,30.6285,-50.9319,87.90,SA0,24.49,6.79,U,191.91,91.36,93.53,this work
ESO 199-012,45.8525,-50.4881,95.94,S,27.45,4.74,GP,28.01,27.65,10.63,this work
ESO 238-024,341.2002,-49.277,99.54,SABbc,47.69,6.90,NC,10.87,6.63,6.12,this work
ESO 242-007,6.0912,-45.5073,79.07,Sc,114.11,7.81,A,14.96,7.40,7.61,this work
ESO 243-006,12.9865,-43.4776,53.46,Sb,14.89,2.30,Sp,5.78,5.80,1.57,this work
ESO 285-042,309.8261,-44.6088,95.06,SABa,38.44,5.20,A+Sp,10.23,7.82,7.69,this work
ESO 287-004,319.5263,-46.3007,59.43,SBb,28.90,2.49,A/NC,4.13,4.89,1.53,this work
ESO 287-046,325.0013,-44.0962,66.99,SBc,24.36,2.97,A/NC,22.52,18.92,12.36,this work
ESO 287-051,325.4938,-44.0917,78.34,Sc,21.56,2.84,U,8.60,11.03,5.41,this work
ESO 340-043,308.7697,-41.685,76.56,SA0,37.18,4.35,A+NC,18.56,9.23,11.29,this work
ESO 352-073,21.3131,-33.4088,98.17,Sa,28.41,7.63,U/NC,41.09,17.76,10.04,this work
ESO 476-004,20.2808,-26.726,82.41,SAB0,50.92,6.61,A,17.05,7.16,6.99,this work
ESO 476-008,21.641,-23.2271,77.98,SABc,45.37,5.50,U/A,6.93,5.99,5.09,this work
ESO 482-002,52.91,-25.0088,91.20,S,23.07,4.03,U/A,17.83,13.34,6.71,this work
ESO 483-012,62.5937,-23.6173,58.08,S0/a,18.67,2.34,U,52.02,36.63,21.36,this work
ESO 485-011,71.637,-26.4112,76.56,Irr,19.60,3.39,GP/A,55.85,32.03,23.17,this work
ESO 549-023,57.2412,-22.1318,58.08,SBa,21.00,3.79,Cl/NC,23.03,17.21,4.18,this work
IC 1657-1,18.5288,-32.6521,48.75,SBbc,52.04,4.34,GP/NC,14.51,9.03,4.07,this work
IC 1657-2,18.5288,-32.6521,48.75,SBbc,52.04,4.34,GP/NC,14.51,9.03,4.07,this work
IC 1657-3,18.5288,-32.6521,48.75,SBbc,52.04,4.34,GP/NC,14.51,9.03,4.07,this work
IC 1816,37.9619,-36.6734,70.15,SBab,40.65,2.48,A/NC,12.54,7.68,6.23,this work
IC 1833,40.4111,-28.1722,68.87,SAB0,35.25,6.27,U,31.57,26.04,13.78,(3)
IC 1904,48.7532,-30.708,62.81,SAB0,36.45,2.33,GP/PD,5.37,3.29,0.95,(3)
IC 2060,64.4722,-56.6163,92.47,S0,47.88,8.66,U,26.29,20.75,14.16,this work
NGC 1121,42.663,-1.7342,35.81,S0,35.39,4.08,A,18.40,8.92,6.04,(2)
NGC 1136,42.7241,-54.9766,77.27,SBa,35.21,6.33,U/A,35.87,16.73,16.87,this work
NGC 1578,65.9437,-51.5997,85.51,SAa,55.75,7.44,U+GP,49.52,48.73,18.71,this work
NGC 7400,343.5864,-45.348,38.55,Sbc,49.00,3.22,PD/NC,18.36,8.58,6.81,this work
NGC 7506,347.9205,-2.161,56.49,SB0,19.38,3.70,U,43.23,20.60,24.43,this work
NGC 823,31.7797,-25.4439,61.09,SA0,58.56,5.89,U,35.01,14.03,7.29,this work
NGC 922,36.2666,-24.7905,41.69,SBcd,24.54,4.37,U,35.09,33.37,20.62,(1)
NGC 951,37.237,-22.3496,86.30,SBab,27.38,3.16,PD,28.41,20.81,11.16,this work
PGC 0122,0.3796,-40.8196,98.17,S,13.24,2.83,U,29.56,19.86,10.67,this work
PGC 069613,341.0415,-57.9392,63.97,SA0,30.66,4.22,U,138.20,97.53,46.29,this work
PGC 127531,48.731,-62.9874,81.28,S,36.37,3.98,A/NC,11.04,8.15,4.40,this work
PGC 127984,49.789,-61.5145,89.13,S0,240.46,9.36,PD,6.59,4.08,4.77,this work
PGC 1280605,11.0258,5.2592,88.72,,8.97,3.52,A,10.99,9.11,5.89,this work
PGC 128506,19.2737,-55.9591,66.37,S,9.37,3.84,NC,10.36,9.06,4.96,this work
PGC 128520,25.7061,-54.5238,89.95,S0,47.72,6.27,U,12.45,11.74,8.52,this work
PGC 128532,34.7909,-53.3704,87.50,S0,21.42,5.52,NC,35.60,25.33,26.47,this work
PGC 131085,74.5152,-39.3889,86.70,S,12.27,3.45,U+A,23.95,14.35,11.28,this work
PGC 131331,74.5152,-39.3889,86.70,S,12.27,3.45,NC,23.95,14.35,11.28,this work
PGC 131565,316.9826,-40.7353,93.33,E,11.25,4.69,U,20.38,18.44,9.70,this work
PGC 132026,29.2572,-34.1937,85.11,S,9.71,3.38,U,28.23,19.49,12.33,this work
PGC 134111,62.8904,-27.2743,71.12,Irr,15.66,2.83,U,18.29,13.80,8.25,this work
PGC 135102,58.7478,-20.11,99.54,S,10.81,3.89,A,8.79,7.22,3.83,this work
PGC 15602,69.0135,-23.7295,98.17,S,42.40,6.57,A/NC,6.74,2.80,0.35,this work
PGC 199568,44.641,-33.8358,66.99,,7.56,3.08,A/U,14.85,14.36,4.34,this work
PGC 3081024,84.0906,-45.1766,97.27,,12.29,2.63,U,67.55,53.11,26.62,this work
PGC 452979,60.4779,-51.7533,76.56,,9.22,1.52,NC,12.64,8.80,2.43,this work
PGC 597851-1,85.8891,-39.4715,63.39,,25.87,3.68,A,4.51,1.97,3.40,this work
PGC 597851-2,85.8891,-39.4715,63.39,,14.84,3.34,U,16.64,7.12,13.13,this work
PGC 768110,67.8642,-26.4139,71.12,,7.25,1.69,U,25.79,15.70,10.07,this work
PGC 7743,30.5553,-6.0789,70.15,,11.69,2.35,PD,46.14,35.58,20.47,this work
PGC 7995,31.4528,-5.2947,71.78,,35.73,4.04,A,30.01,19.91,11.75,this work
PGC 9063,35.7654,-1.7489,83.95,,12.48,"3,43",PD,16.88,9.19,7.49,this work
