RA_deg,Dec_deg,z,Candidate,Angular_Scale_kpc_arcsec,Feature
20.226667,19.516278,0.0517070,LEDA 1595431,0.661,Stream
44.127500,15.923000,0.0352480,UGC 2413,0.706,Stream
156.135417,47.836306,0.0600400,2MASX J10243254+4749361,1.167,Stream
156.309583,47.745833,0.0621100,NVSS J102511+474418,1.205,Stream
167.807500,28.734556,0.0293400,NVSS J111112+284243,0.591,Tail
194.860833,27.998444,0.0239070,NGC4874,0.485,Stream
195.135417,28.033833,0.0212000,GMP 2617,0.432,Stream
195.267500,27.765556,0.0276800,LEDA 83751,0.559,Stream
227.980000,5.638167,0.0514300,2MASX J15115519+0538171,1.010,Stream
342.498333,10.873306,0.0787245,LEDA 1385552,1.491,Stream
348.182500,10.722528,0.0221950,Mrk 526,0.451,Tail
348.173750,10.738306,0.0221950,Mrk 526,0.451,Tail
348.374583,10.379417,0.0649000,$z_	ext{A2558}$,1.255,Tail
348.365000,10.374417,0.0649000,$z_	ext{A2558}$,1.255,Tail
357.685833,27.278250,0.0270370,MCG+04-56-014,0.546,Spiral Arm
17.878888,17.457995,-,2MASX J01113078+1727282,-,Tail&Stream
17.882192,17.609381,-,2MASX J01113133+1736353,-,Shell
25.813381,6.554159,-,-,-,Stream
26.225615,6.382950,0.0918310,LAMOST J014453.48+062301.0,1.721,Stream/Tail
27.283573,14.221135,0.1227400,LEDA 1452449,2.221,Stream/Tail
27.285417,13.962861,0.0705500,2MASX J01490841+1357474,1.355,Shell
27.451133,13.846310,0.0438800,2MASX J01494842+1350450,0.869,Stream
44.154073,13.004558,0.0660620,2MASX J02563682+1300191,1.275,Stream/Shell
79.270523,6.172417,0.0423890,UGC 3278,0.841,Tail
93.569523,48.378326,-,-,-,Tail/Spiral Arm
100.091940,69.967313,-,LEDA 2733304,-,Tail/Spiral Arm
116.044925,9.234112,0.0609625,2MASX J07441076+0914036,1.184,Shell
117.355476,52.043750,0.0683000,MCG+09-13-062,1.315,Stream/Tail
118.188519,29.405885,0.0549480,NVSS J075245+292419,1.075,Stream/Tail/Spiral Arm
118.504914,29.420762,0.0360400,LEDA 1865757,0.721,Stream/Tail/Spiral Arm
118.506025,29.437427,0.1022400,LEDA 1866269,1.894,Tail
123.665965,58.222177,0.0268800,UGC 4281,0.543,Tail/Merger
