Name,Votes,No,Streams,Tails,Plumes,Shells,Disturbed,Spiral,Curiosities,Majority feature,Score,STRRINGS,RA,DEC
2MASXJ00204857+1413283,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,5.202447316624983,14.224396717290722
2MASXJ01235631+0012308,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,20.98482862375851,0.20850136759874116
2MASXJ07345882+3157476,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,113.74520168477014,31.963206933072353
2MASXJ07382470+3309034,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,114.60304221346209,33.15109741059398
2MASXJ07415401+2352188,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,115.47567884068823,23.871714138243956
2MASXJ08004054+1203499,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,120.1689060365465,12.063824862127333
2MASXJ08005960+1537293,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,120.24843892542359,15.624733429201239
2MASXJ08052254+2532306,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,121.34402848403666,25.54190108108551
2MASXJ08121248+2925420,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,123.05182274996403,29.42832683839865
2MASXJ08134647+2746196,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,123.44380859584638,27.772024011131776
2MASXJ08222592+0409474,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,125.60804246312027,4.163245428753483
2MASXJ08244812+1847352,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,126.2004491515577,18.793277613005877
2MASXJ08245792+0335311,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,126.24152410077532,3.5918700230744154
2MASXJ08291264+5429469,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,127.3025206707747,54.49628481302977
2MASXJ08360869+0039579,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,129.03636018958676,0.6660319069376923
2MASXJ08554998+1309291,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,133.95824427090255,13.158287127049068
2MASXJ09080540+0830385,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,137.02244420094345,8.51060255993833
2MASXJ09120405+6204219,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,138.01716751262728,62.072805862289414
2MASXJ09143498+4054540_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,138.64597741920306,40.91513986927419
2MASXJ09165802+0642537,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,139.24161939633277,6.715081818111436
2MASXJ09223417+0305019,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,140.642279684878,3.0836935063768807
2MASXJ09244562+4926416,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,141.19027913325684,49.444819837956
2MASXJ09274027+3431594,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,141.91769907597362,34.53314116068743
2MASXJ09295301+6515383,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,142.47114284867678,65.26054419415588
2MASXJ09343204+6400493,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,143.6329716277082,64.01391214385559
2MASXJ09345909+2549306,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,143.74611359128545,25.825671679272634
2MASXJ09371479+2146571,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,144.31148635123827,21.78257953816448
2MASXJ09383447+0853159,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,144.64356914450627,8.887875554729128
2MASXJ09410114+1056418,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,145.25477563079608,10.944973213080228
2MASXJ09440856+1115144,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,146.03554952654514,11.254144714404346
2MASXJ09445892+0822116,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,146.24551853313685,8.369895609247628
2MASXJ09473857+0449179,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,146.91087067163943,4.82168125177289
2MASXJ09532220+2026551,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,148.34258896280713,20.4485975586792
2MASXJ10043902+6749227,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,151.16198257611933,67.8226548177508
2MASXJ10232162+2001380,"{Plumes: 4, No: 3, Curiosities: 1}",3,0,0,4,0,0,0,1,Plumes,0.5,,155.84000491893815,20.027263560883185
2MASXJ10302049+5724273,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,157.58520316193946,57.40742622732397
2MASXJ10315841+1136233,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,157.9934682095015,11.606314306015175
2MASXJ10504502+0330484,"{Tails: 4, Plumes: 2, No: 2}",2,0,4,2,0,0,0,0,Tails,0.5,,162.6876829828322,3.5135111101955383
2MASXJ11230880+6248456,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,170.78668101230895,62.81268565484139
2MASXJ11270693+5107544,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,171.77897928035642,51.13164401019949
2MASXJ11293819+0958030,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,172.40922414303816,9.96748722168043
2MASXJ11331883+5504515,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,173.3287509872718,55.081193796228966
2MASXJ11351934+5458476,"{Plumes: 2, Streams: 1, No: 2, Shells: 1, Tails: 2}",2,1,2,2,1,0,0,0,Tails,0.25,,173.83053633592885,54.97996005938199
2MASXJ11390044+6308339,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,174.75196094223952,63.142847811324835
2MASXJ11452371+1909267,"{No: 5, Tails: 1, Shells: 1, Plumes: 1}",5,0,1,1,1,0,0,0,No,0.62,,176.3488948387812,19.157576045272183
2MASXJ11460404+1134529,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,176.51688532701323,11.58132403810561
2MASXJ11510469+5622253,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,177.77009394788283,56.37388701415498
2MASXJ12032530+2014294,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,180.85562103221872,20.241495336134587
2MASXJ12063113+6321086,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,181.6295147640781,63.35257245519284
2MASXJ12154983+2749367,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,183.9577073177412,27.826779827691592
2MASXJ12174473+0848331_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,184.43632289441214,8.809343994865994
2MASXJ12194916+0511061_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,184.95480496054233,5.185032121422842
2MASXJ12260880+2826008,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,186.536644688402,28.433492051865322
2MASXJ12345214+4722331,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,188.71707753355668,47.3760798416915
2MASXJ12362919+1818022,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,189.12177563097342,18.30042933605379
