Name,Votes,No,Streams,Tails,Plumes,Shells,Disturbed,Spiral,Curiosities,Majority feature,Score,STRRINGS,RA,DEC
ESO079-003_GROUP,"{Streams: 8, No: 1}",1,8,0,0,0,0,0,0,Streams,0.89,*,8.00647633813802,-64.25266559073859
ESO084-018_GROUP,"{Shells: 2, Streams: 2, No: 3, Spiral: 1}",3,2,0,0,2,0,1,0,Streams,0.25,,66.94289444653461,-62.59198148551458
ESO110-029,"{Streams: 6, No: 2, Tails: 1}",2,6,1,0,0,0,0,0,Streams,0.67,,358.0445986912008,-62.57149152478827
ESO112-005,"{Spiral: 3, No: 2, Streams: 3}",2,3,0,0,0,0,3,0,Streams,0.38,,7.176410337191349,-59.94363080782358
ESO114-001,"{Tails: 2, Streams: 2, No: 1, Plumes: 1, Spiral: 2}",1,2,2,1,0,0,2,0,Streams,0.26,,24.418974656734036,-60.86490363781568
ESO116-005,"{Spiral: 2, Streams: 3, Tails: 3}",0,3,3,0,0,0,2,0,Streams,0.38,,45.63712983663585,-57.86044012233734
ESO116-014,"{Curiosities: 1, No: 4, Spiral: 1, Streams: 2}",4,2,0,0,0,0,1,1,Streams,0.25,,48.960009542533314,-58.57426807253882
ESO119-052,"{Spiral: 2, Tails: 2, Streams: 2, No: 2}",2,2,2,0,0,0,2,0,Streams,0.25,,79.82562440794376,-61.66090286069598
ESO119-055_GROUP,"{Shells: 1, Streams: 2, No: 3, Disturbed: 1, Curiosities: 1}",3,2,0,0,1,1,0,1,Streams,0.25,,80.08945865158651,-61.295843876854455
ESO119-058,"{Streams: 4, No: 1, Tails: 2, Plumes: 1}",1,4,2,1,0,0,0,0,Streams,0.5,,80.31450210935124,-61.05845659390757
ESO143-038,"{Tails: 2, Streams: 3, No: 1, Disturbed: 2}",1,3,2,0,0,2,0,0,Streams,0.38,,309.4824513050789,-61.91060934462192
ESO147-006,"{Tails: 1, No: 4, Spiral: 1, Streams: 2}",4,2,1,0,0,0,1,0,Streams,0.25,,340.82763740751085,-59.41406160722276
ESO157-050_GROUP,"{Plumes: 1, No: 4, Spiral: 1, Tails: 1, Streams: 1}",4,1,1,1,0,0,1,0,Streams,0.12,,70.18593031099594,-52.75645736607551
ESO159-012,"{No: 4, Streams: 1, Shells: 1, Tails: 1, Curiosities: 1}",4,1,1,0,1,0,0,1,Streams,0.12,,82.1736614768949,-56.93560956098712
