ra,dec,source
30.690147,-11.165118,1301_4275
30.201271,-11.144945,1301_4275
30.391056,-11.107487,1301_4275
30.196264,-11.033447,1301_4275
30.493235,-11.019429,1301_4275
30.513254,-10.806742,1301_4275
31.069776,-10.696386,1301_4275
30.596039,-10.623502,1301_4275
31.714083,-11.228167,1301_4275
31.970299,-11.213195,1301_4275
31.412792,-11.15111,1301_4275
31.203613,-11.146258,1301_4275
31.808828,-10.948963,1301_4275
31.982681,-10.95393,1301_4275
32.125488,-11.198564,1301_4275
32.415287,-11.13273,1301_4275
32.646156,-11.124942,1301_4275
32.386871,-11.023117,1301_4275
32.990086,-10.963011,1301_4275
32.767452,-10.926092,1301_4275
32.871616,-10.871783,1301_4275
32.128754,-10.664643,1301_4275
32.194176,-10.582054,1301_4275
32.136494,-10.360971,1301_4275
32.218201,-10.266704,1301_4275
33.92197,-11.09567,1301_4275
33.566002,-10.76555,1301_4275
33.697021,-10.732102,1301_4275
33.428829,-10.72124,1301_4275
33.135857,-10.580472,1301_4275
33.770798,-10.468553,1301_4275
33.911705,-10.41635,1301_4275
34.150101,-11.225227,1301_4275
34.52047,-11.128219,1301_4275
34.712013,-10.842353,1301_4275
34.556,-10.782074,1301_4275
34.974277,-10.764244,1301_4275
34.698021,-10.600347,1301_4275
35.200176,-11.199566,1301_4275
35.92902,-11.171984,1301_4275
35.778553,-11.093374,1301_4275
35.65033,-10.939105,1301_4275
35.416416,-10.864992,1301_4275
35.235199,-10.825553,1301_4275
35.573376,-10.795518,1301_4275
35.44104,-10.673303,1301_4275
35.858185,-10.487077,1301_4275
35.858341,-10.480101,1301_4275
35.084522,-10.463946,1301_4275
35.383976,-10.428904,1301_4275
35.64603,-10.419737,1301_4275
35.107166,-10.274105,1301_4275
36.192448,-11.03756,1301_4275
36.751522,-10.966722,1301_4275
36.480877,-10.924501,1301_4275
36.506718,-10.863957,1301_4275
36.806564,-10.775711,1301_4275
36.796375,-10.761139,1301_4275
36.753819,-10.687791,1301_4275
36.269184,-10.614738,1301_4275
36.255611,-10.59303,1301_4275
36.755485,-10.493033,1301_4275
36.146633,-10.478559,1301_4275
36.204315,-10.464885,1301_4275
36.370941,-10.446504,1301_4275
36.408279,-10.30356,1301_4275
37.792419,-11.126202,1301_4275
37.685009,-11.122371,1301_4275
37.452518,-11.041182,1301_4275
37.476299,-10.96255,1301_4275
37.457287,-10.896633,1301_4275
37.460041,-10.823323,1301_4275
37.025684,-10.745133,1301_4275
37.223198,-10.591873,1301_4275
37.241467,-10.566697,1301_4275
37.670563,-10.531555,1301_4275
37.7155,-10.368069,1301_4275
38.727276,-11.166331,1301_4275
38.126999,-11.066277,1301_4275
38.80442,-11.023103,1301_4275
38.320705,-11.016455,1301_4275
38.449925,-10.950802,1301_4275
38.525471,-10.858728,1301_4275
37.933041,-10.739057,1301_4275
38.624039,-10.501018,1301_4275
38.071007,-10.471202,1301_4275
38.575352,-10.382453,1301_4275
30.613457,-9.799909,1301_4275
30.27099,-9.787633,1301_4275
30.594109,-9.775151,1301_4275
30.55279,-9.671059,1301_4275
30.535917,-9.531606,1301_4275
30.707821,-9.336653,1301_4275
31.767675,-10.230257,1301_4275
32.003788,-10.192514,1301_4275
31.730707,-10.154305,1301_4275
31.790983,-10.093591,1301_4275
31.547184,-9.94758,1301_4275
31.333336,-9.935458,1301_4275
32.048481,-9.898329,1301_4275
31.227858,-9.815267,1301_4275
31.566692,-9.807934,1301_4275
31.557116,-9.787653,1301_4275
31.57605,-9.666735,1301_4275
31.790985,-9.564985,1301_4275
32.060642,-9.546564,1301_4275
31.692123,-9.438184,1301_4275
31.720535,-9.397388,1301_4275
32.367489,-10.114808,1301_4275
32.110931,-10.109645,1301_4275
32.816593,-9.94853,1301_4275
32.868648,-9.949264,1301_4275
32.871441,-9.941854,1301_4275
32.152912,-9.937702,1301_4275
32.531841,-9.908673,1301_4275
32.314884,-9.784696,1301_4275
32.157692,-9.702569,1301_4275
