ra,dec
203.196562,-36.545174
204.773686,-35.595006
73.3006,-19.03759
330.87065,-66.79888
88.930447,-33.329704
9.699202,4.484087
191.904808,-40.956707
160.791968,5.941371
38.2647,-26.3677
18.031017,-33.386934
71.671582,-17.39937
51.467661,-40.730575
90.57017,-39.101812
50.215574,-75.007255
240.566678,20.93798
68.050801,-10.405523
38.821834,-29.834316
23.227759,-13.86482
196.228028,-24.907644
89.909984,-60.168149
68.0714,-10.3695
52.200486,1.997944
316.33443,-5.42903
328.66841,-12.20252
10.02365,-9.19912
196.87974,-2.3588
128.26564,-2.52989
189.35862,-5.40274
183.3747,21.3497
189.1734,-1.6112
310.5523,-61.3283
89.5645,-45.1509
161.388436,-14.036392
209.7203,-5.5807
51.9983,-27.3989
7.3996,-1.7458
