RESOLVE,Conf,Type,SFR,mu-delta,NNdist-kd,NNdist-proj,F16,21cm,Simbad,NED,ra,dec
rs0001,2,1,0.08825888,8.75663185,6.01428273,1.7586,0,1,Simbad,NED,133.0709,3.7298
rs0002,0,0,0.12326641,7.53791094,6.01428273,1.64559996,0,2,Simbad,NED,133.3863,4.7823
rs0003,0,0,0.51703125,9.20324993,3.0059896,2.23119998,0,2,Simbad,NED,133.6862,4.302
rs0004,,,0.01384039,8.59422874,0.59122771,0.57514,0,1,Simbad,NED,134.0094,1.8835
rs1313,,,0.08500452,8.18695259,3.96064336,3.64190006,0,1,Simbad,NED,134.4549,1.323
rs0005,,,0.06608158,9.30454731,0.04750168,0.048012,0,2,Simbad,NED,134.6091,3.3942
rs1314,,,0.17873016,8.77917576,0.04750168,0.049151,0,2,Simbad,NED,134.6198,3.3694
rs0006,,,0.04492572,8.30816078,2.08614737,0.89884001,0,1,Simbad,NED,134.824,0.6901
rs0007,,,0.10440131,7.74893188,0.79077265,0.52157998,0,1,Simbad,NED,134.9949,3.4791
rs0009,,,0.05785795,8.24801445,2.36137106,1.73629999,0,1,Simbad,NED,135.2076,2.8908
rs0010,0,0,0.18819425,7.65485764,0.47896948,0.37314999,0,2,Simbad,NED,135.2126,1.1612
rs0011,0,0,0.10226187,8.26668739,0.71183124,0.51486999,0,2,Simbad,NED,135.2653,3.6045
rs0012,0,0,0.29856384,7.90158939,2.06033118,0.29440001,0,2,Simbad,NED,135.438,0.5217
rs0013,0,0,0.1942104,7.97669363,0.47896948,0.37235001,0,2,Simbad,NED,135.4779,1.172
rs0014,0,0,0.0429744,10.18969822,0.71183124,0.39122,0,2,Simbad,NED,135.5883,3.6157
rs0015,,,0.10618299,8.67737389,0.88775516,0.39392999,0,2,Simbad,NED,135.7865,3.7221
rs0016,0,0,0.11379555,7.02624941,1.27465569,1.23160005,0,2,Simbad,NED,136.4075,0.0034
rs0017,0,0,0.25643376,8.49589062,0.82559177,0.78162998,0,2,Simbad,NED,136.7698,3.1461
rs0018,0,0,0.05237873,10.24325562,1.27465569,1.23070002,0,2,Simbad,NED,137.1741,0.4848
rs0019,0,0,0.20368972,8.18306351,0.69305305,0.49355999,0,2,Simbad,NED,137.2265,1.4326
rs0020,,,0.05298398,7.36828995,0.69305305,0.49810001,0,1,Simbad,NED,137.4391,1.7933
rs0021,,,0.03107821,8.89212894,2.10204094,1.87880003,0,1,Simbad,NED,137.4761,1.6854
rs0022,3,1,0.1707394,9.43835258,1.25190801,0.52329999,0,2,Simbad,NED,139.1756,0.2057
rs0023,0,0,0.02915927,8.78520393,1.23414264,0.19423001,0,2,Simbad,NED,139.5685,0.3851
rs0024,,,0.02931226,7.74934864,0.80097375,0.35887,0,1,Simbad,NED,139.7567,0.172
rs0025,,,0.04430215,7.75326824,0.15076235,0.15127,0,2,Simbad,NED,139.776,0.6776
rs0026,,,0.00306984,8.49861336,0.2543524,0.26376,0,1,Simbad,NED,139.7933,1.0555
rs0027,0,0,0.01540182,8.28069496,0.3733039,0.17196,0,2,Simbad,NED,139.9255,1.3259
rs0028,,,0.00320879,7.88218975,0.06989135,0.067264,0,1,Simbad,NED,139.9349,0.9135
rs0029,0,0,0.04159618,9.9673748,0.02773654,0.027785,0,2,Simbad,NED,139.9799,0.9452
rs0030,,,0.32147092,8.14402962,0.02773654,0.028317,0,2,Simbad,NED,139.9951,0.961
rs0031,0,0,0.0285109,9.72736073,0.02993304,0.028568,0,2,Simbad,NED,139.9987,0.9309
rs0032,,,0.2569879,9.26362419,0.09981633,0.096534,0,2,Simbad,NED,140.0089,1.0384
rs0033,,,0.02449889,9.53489971,0.17268335,0.17347001,0,2,Simbad,NED,140.065,1.2889
rs0034,4,1,0.08565359,6.92416716,0.08050919,0.082252,0,2,Simbad,NED,140.0916,0.8231
rs0035,3,2,0.07809523,7.97924042,1.195546,0.359,0,1,Simbad,NED,140.1239,1.8482
rs0037,,,0.02867264,8.70656395,0.14809864,0.15523,0,1,Simbad,NED,140.1311,0.937
rs0038,0,0,0.03107023,8.1252861,0.13074102,0.12796,0,2,Simbad,NED,140.1386,0.721
rs0039,0,0,0.03056836,7.96317959,0.2007255,0.20290001,0,1,Simbad,NED,140.1431,1.5511
rs0040,,,0.01475678,7.9111557,0.08050919,0.081255,0,0,Simbad,NED,140.1551,0.8229
rs0041,4,1,0.06664525,7.81401348,1.73618632,0.31843999,0,1,Simbad,NED,140.16,3.7565
rs0042,,,0.24420097,7.46439266,1.10740693,0.92193002,0,2,Simbad,NED,140.1923,0.6049
rs0043,,,0.08619454,7.55727053,1.42858991,0.91169,0,1,Simbad,NED,140.286,0.0806
rs0044,0,0,0.02646117,9.83897305,0.17597208,0.17422,0,2,Simbad,NED,140.2928,1.4727
rs0045,0,0,0.05096468,8.00133038,1.6034467,0.31329,0,2,Simbad,NED,140.3588,3.9189
rs0046,4,2,0.07357258,6.87645054,0.17597208,0.17641,0,1,Simbad,NED,140.3894,1.5852
rs1315,,,0.14478937,8.87424374,1.25923126,0.65627003,0,2,Simbad,NED,140.4301,2.6909
rs0047,0,0,0.05352284,7.89684534,6.29411439,2.33299994,0,1,Simbad,NED,140.433,4.3741
rs0048,0,0,0.53020638,8.10134315,1.62052555,0.34404999,0,2,Simbad,NED,140.5892,4.0613
rs0049,0,0,0.03786128,9.97754192,0.07457246,0.073952,0,2,Simbad,NED,140.7372,1.4341
rs1316,,,0.02574341,8.05370235,1.25923126,0.66236001,0,1,Simbad,NED,140.7506,2.8687
rs0050,1,1,0.3256973,8.21787643,0.14429251,0.14612,0,2,Simbad,NED,140.7834,2.486
rs0051,0,0,0.04075747,8.58464813,0.15281724,0.15488,0,2,Simbad,NED,140.8049,2.0602
rs0052,2,1,0.30445093,7.87106466,0.14429251,0.14166,0,2,Simbad,NED,140.8056,2.6013
rs0053,0,0,1.41268706,9.09853077,0.15281724,0.15251,0,2,Simbad,NED,140.9021,2.1366
rs0054,4,1,0.2674126,7.17027664,0.66110833,0.24897,0,2,Simbad,NED,140.9427,2.7528
rs0055,,,0.87642026,8.689785,0.14562888,0.14384,0,2,Simbad,NED,140.9498,2.1129
rs0056,,,0.2774663,7.98296547,0.14562888,0.14476,0,2,Simbad,NED,141.0269,2.0827
rs0057,,,0.04535851,8.67603588,0.51322739,0.51343,0,1,Simbad,NED,141.2944,1.6539
rs0058,,,0.0433962,7.49522209,0.51322739,0.44069999,0,1,Simbad,NED,141.3519,2.0638
rs1317,,,0.07156719,8.31681156,0.13042655,0.12926,0,2,Simbad,NED,141.3746,2.0783
rs0059,,,0.09762986,7.36675358,0.21850959,0.21695,0,2,Simbad,NED,141.395,2.3419
rs0060,,,0.04847043,8.76184082,5.41634404,2.13940001,0,1,Simbad,NED,141.4321,3.1011
rs1318,,,1.22589135,9.37008286,0.21850959,0.21919,0,2,Simbad,NED,141.4456,2.2291
rs1319,,,0.07253946,9.55003262,0.13042655,0.12897,0,2,Simbad,NED,141.4476,2.0897
rs0062,0,0,0.0611425,8.54000759,1.10554437,0.44619,0,1,Simbad,NED,141.6176,2.3002
rs0063,0,0,0.06396174,8.98288822,1.01862783,0.77648002,0,2,Simbad,NED,141.6862,1.1544
rs0064,0,0,1.04887092,8.65406799,0.68291917,0.27994999,0,2,Simbad,NED,141.8701,3.9296
rs0065,0,0,0.1465168,7.68852568,0.69540617,0.28277999,0,1,Simbad,NED,141.8788,3.7116
rs0066,,,0.07065248,7.64619303,0.68291917,0.32300001,0,1,Simbad,NED,141.9624,3.4735
rs0067,,,0.04028153,8.2141161,1.99229439,0.51059002,0,1,Simbad,NED,142.0909,1.749
rs0068,0,0,0.05056571,7.82424927,1.87481793,0.62801999,0,1,Simbad,NED,142.1256,2.4337
rs0069,,,0.06155095,7.45251799,1.77287233,0.77213001,0,1,Simbad,NED,142.3117,4.912
rs0070,0,0,0.08876541,7.75756073,5.0836899,3.26469994,0,2,Simbad,NED,142.3566,0.3555
rs0071,0,0,0.00747362,9.12681198,1.87481793,0.23686001,0,2,Simbad,NED,142.3592,2.0708
rs1320,,,0.04254408,10.08429146,0.03373721,0.031943,0,2,Simbad,NED,142.4214,2.2056
rs0072,,,0.01148817,9.14300442,0.00875298,0.0087295,0,2,Simbad,NED,142.4414,2.2016
rs0073,,,0.01120639,8.25093555,0.0413064,0.04174,0,2,Simbad,NED,142.4556,2.144
rs0074,,,0.01377078,8.14301395,0.0413064,0.04085,0,2,Simbad,NED,142.4718,2.1607
rs0075,,,0.02817315,9.60128212,0.14283013,0.13831,0,2,Simbad,NED,142.4731,2.2804
rs0077,2,1,1.33016288,8.10452461,0.94196206,0.4524,0,2,Simbad,NED,142.563,4.144
rs0078,0,0,0.03994865,7.72784376,0.21538082,0.21569,0,1,Simbad,NED,142.8163,4.6259
rs0080,0,0,0.102772,10.26391697,0.21538082,0.21551,0,2,Simbad,NED,142.9234,4.5001
rs0081,0,0,0.10206132,7.87050343,2.22047114,1.53380001,0,1,Simbad,NED,142.9445,1.0568
rs0082,0,0,0.11923853,7.36011505,2.01686992,1.38100004,0,1,Simbad,NED,143.0549,3.8027
rs0083,4,1,0.11925764,6.84010792,1.88784099,0.51779997,0,2,Simbad,NED,143.0959,2.5481
rs0084,0,0,0.06015156,8.24283695,2.25012903,0.37481001,0,2,Simbad,NED,143.4691,3.1233
rs0085,3,1,0.30892938,7.91167974,1.20024023,0.48478001,0,2,Simbad,NED,143.5018,2.4772
rs0086,3,1,0.1448991,7.29346323,2.22047114,1.50549996,0,2,Simbad,NED,143.5171,0.3838
rs0088,3,1,0.28491065,7.7753768,0.01897166,0.018436,0,2,Simbad,NED,143.5435,0.2579
rs0087,0,0,1.61623788,8.8119278,0.01897166,0.018887,0,2,Simbad,NED,143.544,0.2416
rs0089,2,1,0.58431107,8.74043369,0.05237551,0.053115,0,2,Simbad,NED,143.6427,0.0896
rs0090,0,0,0.15188515,7.79629517,0.05237551,0.052967,0,2,Simbad,NED,143.6543,0.0462
rs0091,0,0,0.05162065,9.97681618,2.00550976,0.38354,0,2,Simbad,NED,143.6907,3.0964
rs0092,0,0,0.15915804,8.64335537,1.39271264,0.86720002,0,2,Simbad,NED,143.764,4.6904
rs0093,0,0,0.37240133,8.32782173,1.80273493,1.33179998,0,2,Simbad,NED,143.9687,4.0167
rs0094,4,1,0.29921493,7.61142969,0.35668175,0.25656,0,2,Simbad,NED,144.0292,3.0116
rs0095,0,0,0.12206157,7.53443336,0.09790063,0.097707,0,2,Simbad,NED,144.1116,1.1917
rs0096,,,0.72465593,8.9206934,0.09790063,0.098843,0,2,Simbad,NED,144.1474,1.1166
rs0097,3,1,0.45688999,7.57981014,0.72466655,0.71360999,0,2,Simbad,NED,144.166,0.4073
rs0098,0,0,0.02989522,8.38152885,0.7895823,0.4637,0,2,Simbad,NED,144.1696,2.7035
rs0099,0,0,0.10881875,7.05398417,0.99990082,0.80741,0,2,Simbad,NED,144.2495,4.5201
rs0100,,,2.23864245,8.99889374,0.04731921,0.02167,0,2,Simbad,NED,144.4331,2.7591
rs0101,3,2,0.12603055,10.27915001,1.37921394,0.020379,0,2,Simbad,NED,144.4376,2.7476
rs0102,,,0.00597014,8.76828957,0.04731921,0.026042,0,2,Simbad,NED,144.4469,2.736
